X1,X2,X3,X4,X5,X6,X7,X8
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
2,1,0.558462499,0.078995496,0.963985985,0.583843685,0.668636123,0.219357863
3,1,0.555563968,0.126445208,0.958957927,0.396676633,0.681517061,0.336621312
3,1,0.558173204,0.073730474,0.96046697,0.430402733,0.682031667,0.291238848
3,1,0.552580621,0.125780075,0.957988697,0.424208588,0.678551688,0.338447266
3,1,0.556393542,0.199424951,0.958709697,0.413369138,0.681421343,0.296856207
3,1,0.556143592,0.098270828,0.957535739,0.423489465,0.68104413,0.303468476
3,1,0.555988693,0.09007306,0.960181978,0.433836601,0.680960025,0.340562637
3,1,0.555495924,0.141584426,0.959705595,0.431240956,0.681723112,0.280287833
3,1,0.558696529,0.094046624,0.960997456,0.454140752,0.683121167,0.336112819
3,1,0.553508315,0.105211929,0.959342167,0.400199004,0.680241565,0.285563922
3,1,0.557405675,0.156567407,0.960282628,0.446424419,0.682766826,0.338560932
3,1,0.553441172,0.170130773,0.956108772,0.404033372,0.677925638,0.341329728
3,1,0.556738774,0.163089967,0.956942025,0.42816416,0.680243392,0.287595603
3,1,0.55633502,0.138945462,0.957735843,0.443970929,0.680250841,0.311931496
3,1,0.557960672,0.068397016,0.96207048,0.500129552,0.684390882,0.30996325
3,1,0.551912831,0.073093935,0.957262535,0.40334143,0.676551024,0.286409782
3,1,0.55703324,0.121047334,0.958346745,0.405580265,0.680614639,0.275706413
